time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010473349642	72.6464	22.6884	-3.54122	4.83315e+14	2.48337e+13	lidar	0	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	75.7449	22.7476	3.53781	4.83315e+14	2.48336e+13	radar	0	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	75.7449	22.7476	3.53781	5.08149e+14	2.48336e+13	lidar	0	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.8927	23.0319	-1.50483	5.08149e+14	2.48336e+13	radar	0	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	77.8927	23.0319	-1.50483	5.32982e+14	2.48336e+13	lidar	0	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.4293	24.011	2.14047	5.32982e+14	2.48335e+13	radar	0	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	79.4293	24.011	2.14047	5.57816e+14	2.48335e+13	lidar	0	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.0539	26.05	-1.55653	5.57816e+14	2.48336e+13	radar	0	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	80.0539	26.05	-1.55653	5.82649e+14	2.48336e+13	lidar	0	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	81.5455	24.4257	3.01266	5.82649e+14	2.48335e+13	radar	0	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	81.5455	24.4257	3.01266	6.07483e+14	2.48335e+13	lidar	0	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	81.2513	26.0268	-0.701615	6.07483e+14	2.48336e+13	radar	0	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	81.2513	26.0268	-0.701615	6.32317e+14	2.48336e+13	lidar	0	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	83.0864	26.1622	1.56317	6.32317e+14	2.48337e+13	radar	0	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	83.0864	26.1622	1.56317	6.5715e+14	2.48337e+13	lidar	0	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	83.3632	26.8036	0.229286	6.5715e+14	2.48338e+13	radar	0	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	83.3632	26.8036	0.229286	6.81984e+14	2.48338e+13	lidar	0	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	84.4024	26.6728	0.653916	6.81984e+14	2.48338e+13	radar	0	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	84.4024	26.6728	0.653916	7.06818e+14	2.48338e+13	lidar	0	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	88.3505	25.6626	1.9432	7.06818e+14	2.48338e+13	radar	0	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	88.3505	25.6626	1.9432	7.31652e+14	2.48338e+13	lidar	0	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	89.1836	26.0183	0.971017	7.31652e+14	2.48339e+13	radar	0	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	89.1836	26.0183	0.971017	7.56486e+14	2.48339e+13	lidar	0	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	90.005	26.2145	1.2377	7.56486e+14	2.48339e+13	radar	0	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	90.005	26.2145	1.2377	7.81319e+14	2.48339e+13	lidar	0	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	90.3646	25.8886	-0.191435	7.81319e+14	2.4834e+13	radar	0	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	90.3646	25.8886	-0.191435	8.06153e+14	2.4834e+13	lidar	0	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	90.9649	25.8229	-0.134507	8.06153e+14	2.4834e+13	radar	0	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	90.9649	25.8229	-0.134507	8.30987e+14	2.4834e+13	lidar	0	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	91.5659	25.8263	0.680414	8.30987e+14	2.48341e+13	radar	0	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	91.5659	25.8263	0.680414	8.55822e+14	2.48341e+13	lidar	0	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	93.2545	24.782	-2.12466	8.55822e+14	2.48341e+13	radar	0	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	93.2545	24.782	-2.12466	8.80656e+14	2.48341e+13	lidar	0	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	93.7237	24.7687	-1.52946	8.80656e+14	2.48342e+13	radar	0	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	93.7237	24.7687	-1.52946	9.0549e+14	2.48342e+13	lidar	0	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	94.0312	25.8956	0.858039	9.0549e+14	2.48343e+13	radar	0	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	94.0312	25.8956	0.858039	9.30324e+14	2.48343e+13	lidar	0	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	96.2544	23.9766	5.52209	9.30324e+14	2.48343e+13	radar	0	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	96.2544	23.9766	5.52209	9.55158e+14	2.48343e+13	lidar	0	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	97.5043	24.6186	1.40573	9.55158e+14	2.48343e+13	radar	0	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	97.5043	24.6186	1.40573	9.79993e+14	2.48343e+13	lidar	0	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	98.2035	24.2807	1.03381	9.79993e+14	2.48344e+13	radar	0	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	98.2035	24.2807	1.03381	1.00483e+15	2.48344e+13	lidar	0	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	98.6792	23.1488	-0.605899	1.00483e+15	2.48344e+13	radar	0	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	98.6792	23.1488	-0.605899	1.02966e+15	2.48344e+13	lidar	0	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	99.2695	23.0127	0.294366	1.02966e+15	2.48344e+13	radar	0	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	99.2695	23.0127	0.294366	1.0545e+15	2.48344e+13	lidar	0	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	99.8784	22.8985	0.397792	1.0545e+15	2.48345e+13	radar	0	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	99.8784	22.8985	0.397792	1.07933e+15	2.48345e+13	lidar	0	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	100.795	22.1375	-1.54057	1.07933e+15	2.48345e+13	radar	0	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	100.795	22.1375	-1.54057	1.10416e+15	2.48345e+13	lidar	0	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	102.485	22.1171	-3.73788	1.10416e+15	2.48346e+13	radar	0	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	102.485	22.1171	-3.73788	1.129e+15	2.48346e+13	lidar	0	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	104.547	22.4842	-1.62172	1.129e+15	2.48346e+13	radar	0	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
1477010500349642	104.547	22.4842	-1.62172	1.15383e+15	2.48346e+13	lidar	0	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	105.803	22.0065	-1.11181	1.15383e+15	2.48346e+13	radar	0	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	105.803	22.0065	-1.11181	1.17867e+15	2.48346e+13	lidar	0	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	107.488	23.3475	-5.79129	1.17867e+15	2.48346e+13	radar	0	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
1477010502349642	107.488	23.3475	-5.79129	1.2035e+15	2.48346e+13	lidar	0	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	110.155	21.2488	1.66681	1.2035e+15	2.48347e+13	radar	0	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
1477010503349642	110.155	21.2488	1.66681	1.22834e+15	2.48347e+13	lidar	0	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	111.546	21.5772	4.95975	1.22834e+15	2.48347e+13	radar	0	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	111.546	21.5772	4.95975	1.25317e+15	2.48347e+13	lidar	0	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
